data,hora,municipio,tipo_crime,bairro,cep,logradouro,lat,lon,ano
2023-01-03,11:30:00,S.PAULO,Roubo (art. 157),CONSOLAÇÃO,1040000.0,PRAÇA DA REPÚBLICA,-23.5434,-46.641341,2023
2023-01-04,02:10:00,S.PAULO,Roubo (art. 157),REPUBLICA,1045000.0,PRAÇA DA REPUBLICA,-23.5421,-46.642453,2023
2023-01-01,00:30:00,S.PAULO,Roubo (art. 157),REPÚBLICA,1219010.0,LARGO DO AROUCHE,-23.5409,-46.644457,2023
2023-01-01,00:30:00,S.PAULO,Roubo (art. 157),REPÚBLICA,1219010.0,LARGO DO AROUCHE,-23.5409,-46.644457,2023
2023-01-04,04:30:01,S.PAULO,Roubo (art. 157),REPUBLICA,1206000.0,AVENIDA RIO BRANCO,-23.5425,-46.638015,2023
2023-01-03,18:00:00,S.PAULO,Roubo (art. 157),REPÚBLICA,1046010.0,AVENIDA IPIRANGA,-23.5433,-46.641203,2023
2023-01-04,07:50:00,S.PAULO,Roubo (art. 157),REPUBLICA,1040000.0,AVENIDA IPIRANGA,-23.5443,-46.642701,2023
2023-01-04,20:10:00,S.PAULO,Roubo (art. 157),REPÚBLICA,1210010.0,AVENIDA VIEIRA DE CARVALHO,-23.5423,-46.643112,2023
2022-12-31,18:00:00,S.PAULO,Roubo (art. 157),REPUBLICA,1002020.0,VIADUTO DO CHA,-23.5468,-46.637632,2023
2023-01-05,05:05:00,S.PAULO,Roubo (art. 157),REPÚBLICA,1045903.0," PRAÇA DA REPÚBLICA, 53",-23.5427,-46.641631,2023
2023-01-04,,S.PAULO,Roubo (art. 157),REPUBLICA,1206000.0,AVENIDA RIO BRANCO,-23.5413,-46.638975,2023
2022-12-31,00:00:00,S.PAULO,Roubo (art. 157),CENTRO HISTÓRICO DE SÃO PAULO,0.0,AVENIDA SÃO JOÃO,-23.5437,-46.637876,2023
2022-12-31,00:00:00,S.PAULO,Roubo (art. 157),CENTRO HISTÓRICO DE SÃO PAULO,0.0,AVENIDA SÃO JOÃO,-23.5437,-46.637876,2023
2022-12-29,20:00:00,S.PAULO,Roubo (art. 157),CENTRO HISTÓRICO DE SÃO PAULO,1031010.0,RUA DOM FRANCISCO DE SOUSA,-23.5412,-46.634322,2023
2023-01-03,12:15:00,S.PAULO,Roubo (art. 157),REPUBLICA,1046010.0,AVENIDA IPIRANGA,-23.543,-46.641225,2023
2023-01-03,12:15:00,S.PAULO,Roubo (art. 157),REPUBLICA,1046010.0,AVENIDA IPIRANGA,-23.543,-46.641225,2023
2023-01-04,09:30:00,S.PAULO,Roubo (art. 157),REPUBLICA,1048100.0,RUA CORONEL XAVIER DE TOLEDO,-23.5468,-46.639427,2023
2022-12-29,20:50:00,S.PAULO,Roubo (art. 157),REPUBLICA,1045001.0,PRAÇA DA REPUBLICA,-23.5422,-46.642572,2023
2022-12-29,20:50:00,S.PAULO,Roubo (art. 157),REPUBLICA,1045001.0,PRAÇA DA REPUBLICA,-23.5422,-46.642572,2023
2023-01-01,08:30:00,S.PAULO,Roubo (art. 157),REPUBLICA,1040000.0,AVENIDA IPIRANGA,-23.5431,-46.641312,2023
2022-12-22,14:00:22,S.PAULO,Roubo (art. 157),REPUBLICA,1045000.0,PRAÇA DA REPUBLICA,-23.5421,-46.642453,2023
2023-01-06,09:00:00,S.PAULO,Roubo (art. 157),CENTRO HISTÓRICO DE SÃO PAULO,1036000.0,AVENIDA SÃO JOÃO,-23.5424,-46.639876,2023
2023-01-03,,S.PAULO,Roubo (art. 157),REPUBLICA,1210010.0,AVENIDA VIEIRA DE CARVALHO,-23.5413,-46.644387,2023
2023-01-07,02:00:00,S.PAULO,Roubo (art. 157),REPUBLICA,1210010.0,AVENIDA VIEIRA DE CARVALHO,-23.5424,-46.643283,2023
2023-01-07,01:00:00,S.PAULO,Roubo (art. 157),REPUBLICA,1045001.0,PRAÇA DA REPUBLICA,-23.543,-46.641225,2023
2023-01-07,23:00:10,S.PAULO,Roubo (art. 157),REPÚBLICA,14786079.0,PRAÇA DA REPÚBLICA,-23.5441,-46.642506,2023
2023-01-06,17:40:00,S.PAULO,Roubo (art. 157),REPUBLICA,1036000.0,AVENIDA SAO JOAO,-23.5434,-46.638521,2023
2023-01-07,22:40:00,S.PAULO,Roubo (art. 157),REPÚBLICA,1045001.0,PRAÇA DA REPÚBLICA,-23.5442,-46.64279,2023
2023-01-07,15:30:00,S.PAULO,Roubo (art. 157),SANTA CECILIA,1206010.0,PRAÇA PRINCESA ISABEL,-23.537,-46.643311,2023
2023-01-06,13:40:00,S.PAULO,Roubo (art. 157),REPUBLICA,1002020.0,VIADUTO DO CHA,-23.5468,-46.637632,2023
2023-01-07,22:15:00,S.PAULO,Roubo (art. 157),REPÚBLICA,1210010.0,AVENIDA VIEIRA DE CARVALHO,-23.5422,-46.64316,2023
